method,method_d,method_cat,round,time
Submission,Punches,Punch,1,01:17
TKO,Punches,Punch,1,01:17
TKO,Punches,Punch,1,01:17
TKO,Cut,Stoppage,1,01:17
KO,Elbows,Elbow,1,01:18
KO,Punches,Punch,1,01:18
Submission,Rear-Naked Choke,Choke,1,01:18
Submission,Rear-Naked Choke,Choke,1,01:18
TKO,Elbows,Elbow,1,01:18
TKO,Knees and Punches,Striking,1,01:18
KO,Punches,Punch,1,01:19
TKO,Punches,Punch,1,01:19
TKO,Injury,Stoppage,1,01:19
KO,Punches,Punch,1,01:20
KO,Punches,Punch,1,01:20
KO,Head Kick and Punches,Striking,1,01:21
Submission,Armbar,Lock,1,01:21
TKO,Punches,Punch,1,01:21
TKO,Punches,Punch,1,01:21
Submission,Rear-Naked Choke,Choke,1,01:22
TKO,Punches,Punch,1,01:22
TKO,Knee and Punches,Striking,1,01:22
Submission,Strikes,Striking,1,01:23
TKO,Punches,Punch,1,01:23
TKO,Punches,Punch,1,01:23
TKO,Punches,Punch,1,01:23
TKO,Knees and Punches,Striking,1,01:23
KO,Punches,Punch,1,01:24
Submission,Guillotine Choke,Choke,1,01:24
TKO,Punches,Punch,1,01:24
KO,Punches,Punch,1,01:25
KO,Head Kick and Knee,Striking,1,01:25
TKO,Punches,Punch,1,01:25
TKO,Punches,Punch,1,01:25
DQ,Punches to Back of Head,Illegal,1,01:26
KO,Knee,Knee,1,01:26
KO,Punches,Punch,1,01:26
Submission,Guillotine Choke,Choke,1,01:26
KO,Head Kick,Kick,1,01:27
Submission,Rear-Naked Choke,Choke,1,01:27
Submission,Rear-Naked Choke,Choke,1,01:27
Submission,Rear-Naked Choke,Choke,1,01:27
Submission,Punches,Punch,1,01:27
Submission,Punches,Punch,1,01:27
KO,Punches,Punch,1,01:28
KO,Punches,Punch,1,01:28
NC,Accidental Eye Poke,Accident,1,01:28
Submission,Kimura,Lock,1,01:28
TKO,Punches,Punch,1,01:28
KO,Elbows,Elbow,1,01:29
KO,Punches,Punch,1,01:29
TKO,Punches,Punch,1,01:29
Submission,Armbar,Lock,1,01:30
Submission,Armlock,Lock,1,01:30
Submission,Kneebar,Lock,1,01:30
TKO,Punches,Punch,1,01:30
TKO,Elbow and Punches,Striking,1,01:30
KO,Punch,Punch,1,01:31
Submission,Choke,Choke,1,01:31
Submission,Lapel Choke,Choke,1,01:31
Submission,Achilles Lock,Lock,1,01:31
TKO,Punches,Punch,1,01:31
TKO,Doctor Stoppage,Stoppage,1,01:31
KO,Punches,Punch,1,01:32
KO,Flying Knee and Punches,Striking,1,01:32
TKO,Punches,Punch,1,01:32
TKO,Punches,Punch,1,01:32
TKO,Punches and Elbows,Striking,1,01:32
KO,Punches,Punch,1,01:33
KO,Punches,Punch,1,01:33
Submission,Punches,Punch,1,01:33
KO,Punches,Punch,1,01:34
Submission,Rear-Naked Choke,Choke,1,01:34
Submission,Rear-Naked Choke,Choke,1,01:35
Submission,Kimura,Lock,1,01:35
TKO,Punches,Punch,1,01:35
TKO,Punches,Punch,1,01:35
TKO,Punches,Punch,1,01:35
TKO,Punches,Punch,1,01:35
Submission,Rear-Naked Choke,Choke,1,01:36
Submission,Armlock,Lock,1,01:36
Submission,Body Lock,Lock,1,01:36
TKO,Punches,Punch,1,01:36
TKO,Punches and Elbows,Striking,1,01:36
KO,Head Kick,Kick,1,01:37
KO,Punch,Punch,1,01:37
KO,Punches,Punch,1,01:37
Submission,Choke,Choke,1,01:37
Submission,Rear-Naked Choke,Choke,1,01:37
Submission,Triangle Choke,Choke,1,01:37
Submission,Rear-Naked Choke,Choke,1,01:38
Submission,Chin to the Eye,Kick,1,01:38
NC,Overturned by CSAC,Illegal,1,01:39
